model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8955157099297362,0.3139991277802006,0.13206162876008803,0.18592640413169786,0.7771558921623406
LogisticRegression,0.9112256396659154,0.543940795559667,0.1078503301540719,0.18000918414204806,0.8315205399127233
KNeighbors,0.8999237703831366,0.34528202424881393,0.12013939838591342,0.17825554497210505,0.7005435361260843
GradientBoosting,0.9113582129126342,0.5521783181357649,0.09996331621423331,0.16928094424600093,0.8346932910854524
